record_type,mode,n_ops,repeat,threads,k_value,planned_ops,successful_ops,failed_ops,total_ms,avg_ms_per_success,tps_success,event_rows,log_rows,checkpoint_rows,mean_total_ms,stddev_total_ms,min_total_ms,max_total_ms,iqr_total_ms
RUN,HMAC_STRICT,12000,9,4,0,12000,12000,0,42542.154,3.545179500,282.073,0,12000,0,,,,,
RUN,HMAC_ONLY,12000,10,4,0,12000,12000,0,25574.941,2.131245075,469.209,12000,0,0,,,,,
RUN,HMAC_CHECKPOINT,12000,10,4,100,12000,12000,0,17437.657,1.453138100,688.166,12000,0,120,,,,,
RUN,HMAC_STRICT,12000,10,4,0,12000,12000,0,40784.498,3.398708150,294.229,0,12000,0,,,,,
RUN,STANDARD,12000,10,4,0,12000,12000,0,9947.942,0.828995142,1206.280,0,0,0,,,,,
RUN,HMAC_CHECKPOINT,12000,11,4,100,12000,12000,0,17250.032,1.437502700,695.651,12000,0,120,,,,,
RUN,HMAC_STRICT,12000,11,4,0,12000,12000,0,40221.720,3.351809992,298.346,0,12000,0,,,,,
RUN,STANDARD,12000,11,4,0,12000,12000,0,9746.509,0.812209083,1231.210,0,0,0,,,,,
RUN,HMAC_ONLY,12000,11,4,0,12000,12000,0,25315.883,2.109656925,474.011,12000,0,0,,,,,
RUN,HMAC_STRICT,12000,12,4,0,12000,12000,0,41493.317,3.457776400,289.203,0,12000,0,,,,,
RUN,STANDARD,12000,12,4,0,12000,12000,0,9868.298,0.822358175,1216.015,0,0,0,,,,,
RUN,HMAC_ONLY,12000,12,4,0,12000,12000,0,24806.413,2.067201067,483.746,12000,0,0,,,,,
RUN,HMAC_CHECKPOINT,12000,12,4,100,12000,12000,0,17589.360,1.465780008,682.231,12000,0,120,,,,,
RUN,STANDARD,12000,13,4,0,12000,12000,0,10988.657,0.915721433,1092.035,0,0,0,,,,,
RUN,HMAC_ONLY,12000,13,4,0,12000,12000,0,23578.038,1.964836467,508.948,12000,0,0,,,,,
RUN,HMAC_CHECKPOINT,12000,13,4,100,12000,12000,0,17370.406,1.447533817,690.830,12000,0,120,,,,,
RUN,HMAC_STRICT,12000,13,4,0,12000,12000,0,39546.929,3.295577442,303.437,0,12000,0,,,,,
RUN,HMAC_ONLY,12000,14,4,0,12000,12000,0,26720.952,2.226746008,449.086,12000,0,0,,,,,
RUN,HMAC_CHECKPOINT,12000,14,4,100,12000,12000,0,17339.671,1.444972542,692.055,12000,0,120,,,,,
RUN,HMAC_STRICT,12000,14,4,0,12000,12000,0,39160.519,3.263376617,306.431,0,12000,0,,,,,
RUN,STANDARD,12000,14,4,0,12000,12000,0,9160.818,0.763401525,1309.927,0,0,0,,,,,
RUN,HMAC_CHECKPOINT,12000,15,4,100,12000,12000,0,17646.073,1.470506050,680.038,12000,0,120,,,,,
RUN,HMAC_STRICT,12000,15,4,0,12000,12000,0,39637.155,3.303096225,302.746,0,12000,0,,,,,
RUN,STANDARD,12000,15,4,0,12000,12000,0,9339.934,0.778327800,1284.806,0,0,0,,,,,
RUN,HMAC_ONLY,12000,15,4,0,12000,12000,0,25289.285,2.107440375,474.509,12000,0,0,,,,,
RUN,HMAC_STRICT,12000,16,4,0,12000,12000,0,39668.853,3.305737725,302.504,0,12000,0,,,,,
RUN,STANDARD,12000,16,4,0,12000,12000,0,8797.623,0.733135233,1364.005,0,0,0,,,,,
RUN,HMAC_ONLY,12000,16,4,0,12000,12000,0,24668.857,2.055738067,486.443,12000,0,0,,,,,
RUN,HMAC_CHECKPOINT,12000,16,4,100,12000,12000,0,18770.849,1.564237375,639.289,12000,0,120,,,,,
SUMMARY,STANDARD,12000,-1,4,0,,,,9543.236,0.795269704,1257.500,,,,9537.468,736.609,8087.879,10988.657,723.422
SUMMARY,HMAC_ONLY,12000,-1,4,0,,,,25509.391,2.125782592,470.416,,,,25694.011,1047.585,23578.038,27504.265,1507.347
SUMMARY,HMAC_CHECKPOINT,12000,-1,4,100,,,,17477.170,1.456430796,686.611,,,,17772.762,644.169,17225.968,18992.791,528.330
SUMMARY,HMAC_STRICT,12000,-1,4,0,,,,39592.042,3.299336833,303.092,,,,39635.305,1577.468,36354.627,42542.154,1971.641
RUN,STANDARD,24000,1,8,0,24000,24000,0,18068.476,0.752853163,1328.280,0,0,0,,,,,
RUN,HMAC_ONLY,24000,1,8,0,24000,24000,0,35182.251,1.465927138,682.162,24000,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,1,8,100,24000,24000,0,33995.480,1.416478313,705.976,24000,0,240,,,,,
RUN,HMAC_STRICT,24000,1,8,0,24000,24000,0,79476.890,3.311537088,301.975,0,24000,0,,,,,
RUN,HMAC_ONLY,24000,2,8,0,24000,24000,0,37201.361,1.550056717,645.138,24000,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,2,8,100,24000,24000,0,36156.863,1.506535975,663.774,24000,0,240,,,,,
RUN,HMAC_STRICT,24000,2,8,0,24000,24000,0,78116.072,3.254836325,307.235,0,24000,0,,,,,
RUN,STANDARD,24000,2,8,0,24000,24000,0,17993.879,0.749744946,1333.787,0,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,3,8,100,24000,24000,0,36847.582,1.535315913,651.332,24000,0,240,,,,,
RUN,HMAC_STRICT,24000,3,8,0,24000,24000,0,78583.348,3.274306175,305.408,0,24000,0,,,,,
RUN,STANDARD,24000,3,8,0,24000,24000,0,18321.073,0.763378050,1309.967,0,0,0,,,,,
RUN,HMAC_ONLY,24000,3,8,0,24000,24000,0,35675.787,1.486491117,672.725,24000,0,0,,,,,
RUN,HMAC_STRICT,24000,4,8,0,24000,24000,0,78501.556,3.270898167,305.726,0,24000,0,,,,,
RUN,STANDARD,24000,4,8,0,24000,24000,0,18076.680,0.753194992,1327.677,0,0,0,,,,,
RUN,HMAC_ONLY,24000,4,8,0,24000,24000,0,35633.144,1.484714321,673.530,24000,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,4,8,100,24000,24000,0,40446.269,1.685261213,593.380,24000,0,240,,,,,
RUN,STANDARD,24000,5,8,0,24000,24000,0,17106.017,0.712750704,1403.015,0,0,0,,,,,
RUN,HMAC_ONLY,24000,5,8,0,24000,24000,0,37061.547,1.544231121,647.571,24000,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,5,8,100,24000,24000,0,38893.324,1.620555150,617.072,24000,0,240,,,,,
RUN,HMAC_STRICT,24000,5,8,0,24000,24000,0,77561.023,3.231709300,309.434,0,24000,0,,,,,
RUN,HMAC_ONLY,24000,6,8,0,24000,24000,0,37596.820,1.566534163,638.352,24000,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,6,8,100,24000,24000,0,38820.228,1.617509496,618.234,24000,0,240,,,,,
RUN,HMAC_STRICT,24000,6,8,0,24000,24000,0,76460.665,3.185861021,313.887,0,24000,0,,,,,
RUN,STANDARD,24000,6,8,0,24000,24000,0,17881.789,0.745074554,1342.148,0,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,7,8,100,24000,24000,0,37485.824,1.561909325,640.242,24000,0,240,,,,,
RUN,HMAC_STRICT,24000,7,8,0,24000,24000,0,77519.555,3.229981454,309.599,0,24000,0,,,,,
RUN,STANDARD,24000,7,8,0,24000,24000,0,18225.224,0.759384350,1316.856,0,0,0,,,,,
RUN,HMAC_ONLY,24000,7,8,0,24000,24000,0,38179.953,1.590831388,628.602,24000,0,0,,,,,
RUN,HMAC_STRICT,24000,8,8,0,24000,24000,0,77743.251,3.239302113,308.708,0,24000,0,,,,,
RUN,STANDARD,24000,8,8,0,24000,24000,0,17581.715,0.732571458,1365.055,0,0,0,,,,,
RUN,HMAC_ONLY,24000,8,8,0,24000,24000,0,35725.015,1.488542279,671.798,24000,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,8,8,100,24000,24000,0,36998.831,1.541617963,648.669,24000,0,240,,,,,
RUN,STANDARD,24000,9,8,0,24000,24000,0,18383.332,0.765972146,1305.531,0,0,0,,,,,
RUN,HMAC_ONLY,24000,9,8,0,24000,24000,0,37239.767,1.551656946,644.472,24000,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,9,8,100,24000,24000,0,36906.250,1.537760429,650.296,24000,0,240,,,,,
RUN,HMAC_STRICT,24000,9,8,0,24000,24000,0,77236.189,3.218174546,310.735,0,24000,0,,,,,
RUN,HMAC_ONLY,24000,10,8,0,24000,24000,0,35283.774,1.470157250,680.199,24000,0,0,,,,,
RUN,HMAC_CHECKPOINT,24000,10,8,100,24000,24000,0,36840.389,1.535016213,651.459,24000,0,240,,,,,
