record_type,mode,n_ops,repeat,threads,k_value,planned_ops,successful_ops,failed_ops,total_ms,avg_ms_per_success,tps_success,event_rows,log_rows,checkpoint_rows,mean_total_ms,stddev_total_ms,min_total_ms,max_total_ms,iqr_total_ms
RUN,STANDARD,5000,20,1,0,5000,5000,0,10657.271,2.131454180,469.163,0,0,0,,,,,
RUN,STANDARD,5000,21,1,0,5000,5000,0,10650.789,2.130157800,469.449,0,0,0,,,,,
RUN,STANDARD,5000,22,1,0,5000,5000,0,10708.944,2.141788780,466.899,0,0,0,,,,,
RUN,STANDARD,5000,23,1,0,5000,5000,0,10878.689,2.175737780,459.614,0,0,0,,,,,
RUN,STANDARD,5000,24,1,0,5000,5000,0,10744.879,2.148975720,465.338,0,0,0,,,,,
RUN,STANDARD,5000,25,1,0,5000,5000,0,12433.991,2.486798180,402.124,0,0,0,,,,,
RUN,STANDARD,5000,26,1,0,5000,5000,0,11869.465,2.373893000,421.249,0,0,0,,,,,
RUN,STANDARD,5000,27,1,0,5000,5000,0,10583.667,2.116733460,472.426,0,0,0,,,,,
RUN,STANDARD,5000,28,1,0,5000,5000,0,10590.711,2.118142200,472.112,0,0,0,,,,,
RUN,STANDARD,5000,29,1,0,5000,5000,0,10554.925,2.110984920,473.713,0,0,0,,,,,
RUN,STANDARD,5000,30,1,0,5000,5000,0,10696.966,2.139393120,467.422,0,0,0,,,,,
SUMMARY,STANDARD,5000,-1,1,0,,,,10704.949,2.140989890,467.074,,,,10800.750,381.541,10554.925,12433.991,99.230
RUN,STANDARD,10000,1,1,0,10000,10000,0,21389.188,2.138918760,467.526,0,0,0,,,,,
RUN,STANDARD,10000,2,1,0,10000,10000,0,21588.477,2.158847740,463.210,0,0,0,,,,,
RUN,STANDARD,10000,3,1,0,10000,10000,0,21947.772,2.194777220,455.627,0,0,0,,,,,
RUN,STANDARD,10000,4,1,0,10000,10000,0,21771.998,2.177199840,459.306,0,0,0,,,,,
RUN,STANDARD,10000,5,1,0,10000,10000,0,21532.962,2.153296180,464.404,0,0,0,,,,,
RUN,STANDARD,10000,6,1,0,10000,10000,0,21401.129,2.140112860,467.265,0,0,0,,,,,
RUN,STANDARD,10000,7,1,0,10000,10000,0,21414.394,2.141439360,466.976,0,0,0,,,,,
RUN,STANDARD,10000,8,1,0,10000,10000,0,21364.979,2.136497930,468.056,0,0,0,,,,,
RUN,STANDARD,10000,9,1,0,10000,10000,0,21391.753,2.139175310,467.470,0,0,0,,,,,
RUN,STANDARD,10000,10,1,0,10000,10000,0,21534.515,2.153451510,464.371,0,0,0,,,,,
RUN,STANDARD,10000,11,1,0,10000,10000,0,21381.079,2.138107940,467.703,0,0,0,,,,,
RUN,STANDARD,10000,12,1,0,10000,10000,0,21629.438,2.162943790,462.333,0,0,0,,,,,
RUN,STANDARD,10000,13,1,0,10000,10000,0,21476.501,2.147650110,465.625,0,0,0,,,,,
RUN,STANDARD,10000,14,1,0,10000,10000,0,21391.068,2.139106750,467.485,0,0,0,,,,,
RUN,STANDARD,10000,15,1,0,10000,10000,0,21606.794,2.160679370,462.817,0,0,0,,,,,
RUN,STANDARD,10000,16,1,0,10000,10000,0,21405.284,2.140528400,467.174,0,0,0,,,,,
RUN,STANDARD,10000,17,1,0,10000,10000,0,21476.473,2.147647340,465.626,0,0,0,,,,,
RUN,STANDARD,10000,18,1,0,10000,10000,0,21465.932,2.146593220,465.854,0,0,0,,,,,
RUN,STANDARD,10000,19,1,0,10000,10000,0,21528.068,2.152806780,464.510,0,0,0,,,,,
RUN,STANDARD,10000,20,1,0,10000,10000,0,21483.408,2.148340810,465.475,0,0,0,,,,,
