"N
(updates)",Median TPS,Median TPS,"Added time per update,
µs [95% CI]","Overhead vs STANDARD,
% [95% CI]",SD total_ms,SD total_ms
"N
(updates)",STANDARD,HMAC_COMPUTE,"Added time per update,
µs [95% CI]","Overhead vs STANDARD,
% [95% CI]",STANDARD,HMAC_COMPUTE
"1,000",497.5,310.2,"1,214
[1,207, 1,222]","+60.37
[60.05, 60.81]",17,43
"5,000",496.6,309.6,"1,216
[1,205, 1,224]","+60.39
[59.58, 60.81]",78,260
"10,000",480.4,301.8,"1,231
[1,129, 1,387]","+59.14
[53.32, 68.37]",716,"1,073"
"50,000",473.1,296.0,"1,264
[1,215, 1,314]","+59.81
[56.37, 62.23]","2,611","3,870"
"100,000",478.2,299.8,"1,244
[1,235, 1,255]","+59.51
[58.86, 60.22]","1,668","2,660"
